,baseMean,log2FoldChange,lfcSE,pvalue,padj
BB_0824,1487.5273942351,0.433953166181056,0.108416338289965,1.14393592547493e-05,0.000158687855708325
BB_0548,3415.78019986933,-0.457521556315749,0.11618841483752,1.34563960422936e-05,0.000180376185151194
BB_0694,10026.706504976,-0.272237803535403,0.0658473327773936,1.34322310181006e-05,0.000180376185151194
BB_A60,859.112119373857,0.418232921304984,0.105146600043252,1.33472159859295e-05,0.000180376185151194
BB_0172,1369.42356524166,-0.433942329005627,0.11007347878857,1.39586312066228e-05,0.000185029411438899
BB_0729,3138.20881573157,0.352681872150499,0.0871950284770262,1.47482768980164e-05,0.000193348289443226
BB_0827,4038.48438808719,-0.31200113657402,0.0776323533022803,1.5566280685257e-05,0.000199683579113029
BB_A19,1459.63260463483,0.374384717284417,0.0935828912830381,1.55553076034396e-05,0.000199683579113029
BB_K15,484.835690306729,0.664066605415097,0.176788494049094,1.59631113981876e-05,0.000202595658489764
BB_0751,1211.17763135558,-0.380218061904153,0.0966720389677299,1.92601714572019e-05,0.000241867205773073
BB_O28,305.415876612787,0.704853883179206,0.191990519913338,1.98067279939293e-05,0.000246139859341226
BB_0301,1197.24280805277,-0.394812282810639,0.101174234068167,2.06054213837222e-05,0.000251214874316628
BB_0817,2500.14066663441,-0.39762515084158,0.102113813581284,2.0636259583428e-05,0.000251214874316628
BB_0450,960.919325371832,-0.514731518319833,0.136345834260722,2.10529586686378e-05,0.000253698784764493
BB_B16,5555.65503107173,0.388645087030667,0.099917425896346,2.29399797920424e-05,0.000273673958919066
BB_K48,203.013546066598,0.942667262073724,0.269167586749865,2.52562810936706e-05,0.000298324191532168
BB_A20,1151.71260246674,0.381753145143336,0.0986325034004386,2.59726686334438e-05,0.000303778369408809
BB_J24,235.052876154627,0.95949801726383,0.274596808859686,2.73518883067981e-05,0.000316803910194273
BB_0718,2960.88790707765,-0.283056146746601,0.0717355087476877,3.00397607736951e-05,0.000344590717336714
BB_0218,1774.12174647996,0.432529125049004,0.114944519095398,3.054089992289e-05,0.000347002796266741
BB_0710,2587.26358182167,-0.307320933189352,0.0794240453819246,3.49094782103817e-05,0.000392896297216843
BB_0411,407.898930616102,-0.499659121750389,0.137867833669995,3.90519286189297e-05,0.00043137917446651
BB_A25,682.332751898867,1.13089580636846,0.336405200945233,3.9043774627698e-05,0.00043137917446651
BB_A0078,164.434620204075,1.18229860198981,0.354332745662272,4.08335095100629e-05,0.000446920888490872
BB_A50,229.022659943357,-0.777841329505724,0.228406753469094,4.45418859977028e-05,0.000483076999956904
BB_0370,2516.42243021684,-0.30256905418626,0.0795098993793217,4.77824223222744e-05,0.000513553421896156
BB_0769,1435.63648729041,-0.485804831553758,0.135697993080263,4.91368394308681e-05,0.000523395084294872
BB_0326,10367.1910122246,-0.243237476051749,0.0629861592051761,5.23246547947766e-05,0.00055241870062096
BB_0684,3478.95239076137,-0.311026543296414,0.0828710497009844,5.49007905580138e-05,0.000574531957330793
BB_0330,10247.8063533081,0.39167056423511,0.107553393645521,5.72380011319483e-05,0.000593782046525342
BB_0782,408.304961155656,-0.443195636061581,0.123492992927131,5.92685958171393e-05,0.000604337049656814
BB_A69,2709.71422284437,0.408437409999198,0.112314358225906,5.90839057053389e-05,0.000604337049656814
BB_B29,102678.451529058,0.449511515518436,0.124796571825552,6.14002109484756e-05,0.000620766539504503
BB_A71,697.538562409587,1.05416213015649,0.326542523446704,6.31386332209785e-05,0.000632978062459053
BB_K53,651.362124810363,1.23801832698321,0.389241905547581,6.59266566131717e-05,0.000655420844495949
BB_0754,1800.54231332422,-0.314143144978129,0.0849307055763324,6.7967515593585e-05,0.000670126000852453
