,day1_aBb_1.counts.txt,day1_aBb_2.counts.txt,day1_aBb_3.counts.txt,day1_aBb_4.counts.txt,day2_aBb_1.counts.txt,day2_aBb_2.counts.txt,day2_aBb_3.counts.txt,day2_aBb_4.counts.txt,day3_aBb_1.counts.txt,day3_aBb_2.counts.txt,day3_aBb_3.counts.txt,day3_aBb_4.counts.txt,day4_aBb_1.counts.txt,day4_aBb_2.counts.txt,day4_aBb_3.counts.txt,day4_aBb_4.counts.txt
BB_0046,473.667312759812,515.966484766856,582.829435266021,479.645503909431,519.763967521173,472.486336711929,425.753803992652,469.262949815088,548.997699286387,470.135301716665,488.143502512705,513.69683601227,370.153023042806,553.27741947156,463.510564080399,523.203817002485
BB_0047,2686.37033093779,3031.47539313599,3128.16537542317,3684.19067097511,2837.13485175976,2924.06638568892,3214.35640862978,3178.63599585694,2538.93037873731,2959.56702087609,2589.841442965,3295.14872485319,4091.92599691851,3957.09740139854,4234.42030378269,4330.2464225172
BB_0048,193.226189490907,115.32287415537,150.754957851719,181.594182550073,246.941801996574,172.724957996106,233.231665533823,166.233369676194,285.537677376834,212.213851469328,256.35911630816,177.863141398326,228.453818909232,229.189351755209,217.794120471513,266.892733616998
BB_0050,506.748839365259,519.642114222007,488.607586608697,394.769962065375,644.852391239962,675.856045320247,550.426730659823,603.173164276467,593.153010220949,566.447741998898,489.260535699233,648.264344307056,695.482828451521,836.183025544397,554.258114276863,798.32672302177
BB_0051,354.87455813116,305.536698459447,243.630780099653,332.593693040079,324.58289258065,368.294184630407,458.830294741085,364.789894567203,438.609421949982,337.909748108853,383.700899572344,427.10556980519,436.66489437081,470.912496184532,417.438730903733,502.040516539463
BB_0052,763.130670557474,589.479073869881,572.061223990898,818.16074638049,720.336784863368,777.262310982477,837.089650479577,715.149809127792,728.562630420272,879.871276476675,752.880367719824,876.444032285171,751.873328055699,900.64253072555,1045.69100149464,945.294087348311
BB_0053,1595.43180583543,1492.7650124733,1481.97507673877,1411.30261438372,1592.72070545388,1705.51966589058,1496.07512000605,1370.84810062833,1674.95812811772,1523.04248785294,1483.97858830235,1569.17416194181,1124.91817159103,1378.71719415243,1358.42102063322,1487.30972698459
BB_0054,2057.0694725569,2384.56460902937,2254.59423572883,2521.59313269258,2308.74409639592,2610.93275216049,2071.94530508775,2217.02212821618,1860.41043404288,2269.05579647974,1819.647060854,1812.56582911847,1844.98147422898,1446.75778295476,1654.39764588938,1542.56945597137
BB_0055,10416.1697634515,10199.8717380447,9991.55403690456,10987.4349691846,11760.4685265268,13184.4860679415,9983.16339999503,10223.3522350859,8061.2879329532,10729.8588131376,8848.01987048773,8545.62185284193,7562.11058794482,7341.22142340905,7987.18053344568,7415.38533445994
BB_0056,24517.1704790233,23590.6492968426,25037.4372410699,24871.4945350238,24688.7884572557,28784.3356614091,21118.0671701534,21641.5068147195,18199.3473235286,21386.258985382,19057.1446787597,18046.0879384538,16980.7699320887,17144.437836376,17646.90822282,16626.1239915329
BB_0057,25420.897637654,23187.2489641397,24081.7584904027,25061.9710417203,26900.4811904215,30232.996599441,22725.2453744683,23870.0729269409,17690.0894040833,23732.0382512391,19757.5244867128,18989.2306487634,18050.7435143218,17549.1002855688,17261.5801635243,15743.1440666591
BB_0058,6062.18975044819,5912.24997861078,5895.59567312973,6569.95909367301,5245.08700834644,6019.18619752237,5997.02220723514,5960.15894193186,6371.61136785729,5734.67123239807,6172.72538875334,6506.04648799139,4372.43258469314,5319.69971925568,4392.18142950885,4539.52794931819
BB_0059,2893.12987222183,2753.96536927207,3133.54948106073,3528.25653595929,2758.41541269535,3143.59423552913,3180.43180273395,2918.31915653762,2594.86043925442,2984.05323450716,3117.08110700619,3013.14203355716,2498.53290553894,2952.60344565891,2486.48287538311,2406.73755821143
BB_0060,1513.47984219921,1229.49805274809,1452.36249573219,1656.05999086425,1748.00288662204,1632.52944170513,1615.65935578885,1573.44501992119,1345.26513980632,1599.76595723032,1391.26483382054,1494.28441819515,1516.75984832775,1489.73078640886,1283.03074816231,1321.53054002426
BB_0061,2445.7774101709,2254.0797633715,2608.5991813985,2459.41686366729,2688.32276147362,2643.80621190814,2641.03056899027,2378.63790429026,1978.15792986838,2278.85028193217,2098.34684089272,2494.76458856073,2270.07908662971,2393.95440075559,2302.19554267644,2512.55406052654
BB_0062,179.69283769777,245.807719813239,196.519855770991,208.241154989485,266.352074642593,180.525439970124,220.509938322887,200.288122491803,232.55130425536,230.170408132117,210.560755660515,215.308013271658,300.749331222279,265.000187966961,170.326171137978,218.687438117893
BB_0063,2479.61078965374,2697.45256639912,2574.94852116374,2965.70934001613,2398.24702026367,2520.11285489157,2156.75681982732,2251.07688103179,2577.1983148806,2375.1627222144,2715.5076764494,2388.28073417094,1834.86010250516,2137.90692184156,1897.32185718453,1782.42019455229
BB_0064,3515.66405470616,3647.14332687382,3786.37228961505,3781.89623658629,3448.55844010936,3799.94907591433,3356.83975339226,3329.86218632625,3188.01344947537,3251.76917020693,3446.04738043866,3164.09167329653,2398.76509854693,2940.0696529848,2589.79547099139,2647.76403570696
BB_0065,1866.09884169818,2054.21741174765,2094.41709301138,2321.24737694441,1931.32212827888,1988.56572609065,1710.64825229717,1814.71428563178,1670.54259702426,1797.288080521,1775.52424998614,1958.83485987367,1421.32977207452,1629.39304763469,1534.33165639867,1705.99716510249
BB_0066,868.390073392988,750.287862532748,752.428762849205,790.526849035914,707.396603099356,728.230710002937,770.93666898271,754.399354745782,699.125756463898,708.467781059141,632.799300168072,655.285257783306,459.799458310985,589.088255683312,517.959094198278,536.136945063221
BB_0067,25802.087046494,24736.526779486,25561.0415143227,26905.5467645656,24161.4760503722,27189.6942750064,25272.1351620977,26210.0384848135,18109.5648579617,22254.7033621642,20242.8754062591,21448.8906699428,19232.052185517,19157.0068314765,20555.0181775775,19884.0965239237
BB_0068,5005.08460482868,5194.1238738106,5215.8523363876,5206.02887473714,3755.88775700466,3775.99045270842,4941.96696387487,4607.78121571199,3689.91215043156,4112.05147577874,3629.24082302924,4022.98342189108,3554.04738530944,3457.5362362446,3106.3584490328,3282.66304959762
BB_0069,8482.40416278761,8467.73135730468,8014.24124151014,8420.44329085445,8113.4939660359,6985.8887850167,8367.50404420618,7800.84719157555,6056.63681652408,7447.07377233134,6503.3672119656,6789.22333153346,6208.73859744456,6102.16649048245,5976.77326755479,5790.51415446571
BB_0070,1875.87292910433,1735.81601019517,1770.02472834831,1744.88323232896,1929.16543131821,1686.01846095554,1937.94311179922,1739.67838959739,1449.76604235145,1800.55290900514,1489.56375423499,1589.06675012452,1493.62528438757,1500.47403727239,1591.57241883029,1584.89605689742
BB_0071,872.149337779971,951.069121520384,751.082736439815,888.232414647094,882.089056913526,663.598145075362,863.381220048844,786.145310760333,785.964534635203,794.985735888943,698.70425817322,819.106572229132,692.591007958999,726.959975098555,700.850310748074,634.899013890656
BB_0072,2132.25476029655,2620.72380152284,2124.02967401797,2498.89385987383,1907.59846171153,1513.29350295943,1735.24359157164,1708.5096327831,1838.3327785756,1810.34739445757,1757.6517190017,1857.03161446805,1925.9524480196,1896.18377741224,1837.28886243917,1793.0018447838
BB_0073,111.274225854686,168.619501255063,121.142376845131,95.7317158008535,152.047135727148,148.766334790195,127.217272109358,165.078971275665,95.6698403582176,138.755210576099,115.612934805641,106.483854389787,127.240101670964,123.547384930543,118.669873333837,157.549014558052
BB_0074,4626.90260749822,4997.47769796001,4552.26131655816,4847.77513416281,4809.43422229135,4182.1726926412,4840.19314618738,4413.8422844231,4709.89983301994,4265.49841453349,4094.48514521813,4854.96166882667,4716.55922330325,4385.03689412897,4869.65315515793,5243.79555917098
BB_0075,1195.44607506048,1490.92719774572,1543.89229157073,1368.86484346169,1116.09067714609,1050.2791800731,1351.04742980138,1189.030352545,1056.78377503385,914.151975560181,1238.23128726621,1269.61518695515,1020.81263386024,1136.99404972311,1075.00944078888,957.051476494434
BB_0076,554.867423518636,662.991662972906,753.774789258595,855.663892776701,631.912209475949,471.371982144212,613.187251567106,600.864367475408,640.252008551148,639.906382892127,571.9209915023,711.452565593303,598.606841952037,553.27741947156,462.114447923531,544.367117465507
BB_0077,363.144939782522,563.749667683822,519.566194024675,536.88714840891,362.325089392353,250.729777736283,413.880191929112,369.407488169319,515.145294236556,440.751845359373,366.945401774425,382.639784455609,271.83112629706,440.473285404543,263.865953648179,324.503940433002
BB_0078,278.937417514111,301.861069004296,323.046338253684,311.868270031646,236.15831719323,199.46946762131,279.029883493192,267.820428922756,329.692988311396,248.126964794906,241.837684883297,326.472476645611,234.237459894275,318.716442284588,180.098984236059,205.754310057157
BB_0080,279.689270391508,260.050783951951,302.855942112828,246.73122629086,156.360529648486,202.255354040602,221.358053470283,195.093329689422,261.988178211734,231.802822374189,243.513234663089,305.409736216862,148.928755364879,193.378515543458,122.858221804443,151.67031998499
BB_0081,98.4927269389449,98.7825416071897,127.872508892083,110.535589378305,103.521454112101,103.077797513805,119.584235782797,122.943429656352,108.916433638586,142.020039060242,134.602498976615,118.185376850203,73.7414225593089,105.641966824667,125.650454118181,99.9378077420478
